Common Name,Scientific Name,Location Name,Observation Date,How Many,Latitude,Longitude
Barn Owl,Tyto alba,"14 NS Mankikar Road, Mumbai, Maharashtra, IN (19.047, 72.865)",2024-09-08 21:23,1,19.0473192,72.8652976
Black Kite,Milvus migrans,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",2024-09-08 18:21,1,21.0212234,75.5660228
Rock Pigeon,Columba livia,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",2024-09-08 18:21,50,21.0212234,75.5660228
Black-crowned Night Heron,Nycticorax nycticorax,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",2024-09-08 18:21,1,21.0212234,75.5660228
Eastern Cattle Egret,Bubulcus coromandus,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",2024-09-08 18:21,10,21.0212234,75.5660228
Common Myna,Acridotheres tristis,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",2024-09-08 18:21,15,21.0212234,75.5660228
Rose-ringed Parakeet,Psittacula krameri,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",2024-09-08 18:21,15,21.0212234,75.5660228
Spot-breasted Fantail,Rhipidura albogularis,"Bird Song, Haripur",2024-09-08 18:12,1,16.8470226,74.5536521
Oriental Magpie-Robin,Copsychus saularis,"Bird Song, Haripur",2024-09-08 18:12,1,16.8470226,74.5536521
Common Tailorbird,Orthotomus sutorius,"Bird Song, Haripur",2024-09-08 18:12,3,16.8470226,74.5536521
Indian Robin,Copsychus fulicatus,"Bird Song, Haripur",2024-09-08 18:12,2,16.8470226,74.5536521
Red-whiskered Bulbul,Pycnonotus jocosus,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,1,16.34737,73.5097676
Red-rumped Swallow,Cecropis daurica,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,2,16.34737,73.5097676
Red-vented Bulbul,Pycnonotus cafer,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,2,16.34737,73.5097676
Dusky Crag-Martin,Ptyonoprogne concolor,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,2,16.34737,73.5097676
Brown-capped Pygmy Woodpecker,Yungipicus nanus,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,1,16.34737,73.5097676
Plum-headed Parakeet,Psittacula cyanocephala,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,5,16.34737,73.5097676
Purple-rumped Sunbird,Leptocoma zeylonica,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,2,16.34737,73.5097676
Common Iora,Aegithina tiphia,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,1,16.34737,73.5097676
House Crow,Corvus splendens,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,1,16.34737,73.5097676
Vernal Hanging-Parrot,Loriculus vernalis,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,2,16.34737,73.5097676
Spotted Dove,Spilopelia chinensis,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,1,16.34737,73.5097676
Brown-headed Barbet,Psilopogon zeylanicus,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,1,16.34737,73.5097676
Ashy Prinia,Prinia socialis,"Kinjawade, Maharashtra, IN (16.347, 73.51)",2024-09-08 18:09,1,16.34737,73.5097676
Asian Openbill,Anastomus oscitans,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Yellow-wattled Lapwing,Vanellus malabaricus,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
White-throated Kingfisher,Halcyon smyrnensis,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
White-breasted Waterhen,Amaurornis phoenicurus,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Red-wattled Lapwing,Vanellus indicus,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Red-naped Ibis,Pseudibis papillosa,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Red Avadavat,Amandava amandava,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Black Drongo,Dicrurus macrocercus,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Plain Prinia,Prinia inornata,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Painted Francolin,Francolinus pictus,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Laughing Dove,Spilopelia senegalensis,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Large Gray Babbler,Argya malcolmi,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
House Sparrow,Passer domesticus,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Gray-breasted Prinia,Prinia hodgsonii,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Greater Coucal,Centropus sinensis,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Eurasian Collared-Dove,Streptopelia decaocto,"Kokewada Mankar, Maharashtra, IN (20.295, 79.258)",2024-09-08 18:06,1,20.2945705,79.2579436
Black-backed Dwarf-Kingfisher,Ceyx erithaca,Karnala Bird sanctuary--Gaarmal_Ransai,2024-09-08 18:01,1,18.8970573,73.1088428
Little Egret,Egretta garzetta,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,3,20.6645267,75.2787944
Little Cormorant,Microcarbo niger,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,3,20.6645267,75.2787944
Little Swift,Apus affinis,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,2,20.6645267,75.2787944
Indian Spot-billed Duck,Anas poecilorhyncha,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,4,20.6645267,75.2787944
Indian Pond-Heron,Ardeola grayii,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,1,20.6645267,75.2787944
Indian Golden Oriole,Oriolus kundoo,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,1,20.6645267,75.2787944
Asian Green Bee-eater,Merops orientalis,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,5,20.6645267,75.2787944
Purple Sunbird,Cinnyris asiaticus,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,1,20.6645267,75.2787944
Black-winged Stilt,Himantopus himantopus,"Triveni Sangam, Bambrud , Maharashtra, IN",2024-09-08 18:00,2,20.6645267,75.2787944
Gray Francolin,Ortygornis pondicerianus,Tadoba Andhari reserve -- Madnapur Gate,2024-09-08 17:58,1,20.3878367,79.4119263
Rufous Treepie,Dendrocitta vagabunda,Tadoba Andhari reserve -- Madnapur Gate,2024-09-08 17:58,1,20.3878367,79.4119263
Cotton Pygmy-Goose,Nettapus coromandelianus,Tadoba Andhari reserve -- Madnapur Gate,2024-09-08 17:58,2,20.3878367,79.4119263
