observed_on,time_observed_at,user_name,created_at,updated_at,image_url,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name
2010-07-18,09:18:35.000000000,Yuwaraj Gurjar,2015-02-23T14:27:42.000000,2023-12-22T17:08:38.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/1573576/medium.jpg,slime mould,2,0,"Thane, IN-MH, IN",19.2,72.96667,Greater Bombay,Maharashtra,India,true slime molds,Myxomycetes,true slime molds,Protozoa
2016-06-07,09:06:00.000000000,Subhajit Roy,2016-06-15T14:31:22.000000,2020-04-12T21:16:30.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/4017263/medium.JPG,"",1,0,Khisma,23.251249,88.595193,Nadia,West Bengal,India,Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold,Protozoa
2017-06-29,16:47:00.000000000,Chief RedEarth,2017-07-27T15:52:39.000000,2024-01-27T23:48:08.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/9335435/medium.jpeg,"A bead like white fungus on a live plant in a pine forest.

http://www.easttennesseewildflowers.com/gallery/index.php/fungi/Copy_of_Mold_on_grass

https://www.youtube.com/watch?v=v8FgVkTEPmQ",1,0,"Kausani, Uttarakhand 263639, India",29.8445269,79.6038842,Almora,Uttaranchal,India,Physarales,Physarales,Not provided,Protozoa
2016-09-10,17:42:00.000000000,Devin Thabah,2018-09-23T04:46:14.000000,2018-09-23T04:46:15.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/25384005/medium.jpg,Not Provided,0,0,"Nongstoin, Meghalaya ",25.5213094,91.2554112,West Khasi Hills,Meghalaya,India,Stemonitis splendens,Stemonitis splendens,chocolate tube slime,Protozoa
2018-08-15,15:16:42.000000000,,2018-09-23T11:29:24.000000,2024-02-07T21:42:45.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/25403014/medium.jpeg,Saw these on road side on the way to Nasik. Growing on the log used to make a roadside stall. Saw annelid feeding on these. I guess I have found a proper name for it. ,2,0,"NH848, Nilmati, Maharashtra 422212, India",19.9713538133,73.4416719899,Palghar,Maharashtra,India,true slime molds,Myxomycetes,true slime molds,Protozoa
2012-05-20,13:11:28.000000000,Bijoy Venugopal,2018-09-28T06:44:11.000000,2019-08-12T17:22:06.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/25676346/medium.jpg,Not Provided,1,0,"172002, Kullu, Himachal Pradesh, IN",31.5611066892,77.6018719886,Kullu,Himachal Pradesh,India,slime molds,Mycetozoa,slime molds,Protozoa
2018-12-11,16:27:09.000000000,Chief RedEarth,2018-12-15T20:18:51.000000,2023-10-11T20:11:25.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/29184711/medium.jpeg,This white leathery lichen was found on a live Oak tree.,4,1,"Unnamed Road, Paini Bhanwan, Uttarakhand 249151, India",30.6597213745,78.3799972534,Uttarkashi,Uttaranchal,India,Reticulariaceae,Reticulariaceae,reticulate slime mold family,Protozoa
2018-12-29,11:47:11.000000000,Jagdish Supekar,2018-12-29T08:34:28.000000,2020-08-01T17:19:58.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/29633889/medium.jpeg,Not Provided,0,0,"13, Z P Colony, Pawar Colony, Shahupuri, Satara, Maharashtra 415002, India",17.6947965,73.9853904,Satara,Maharashtra,India,Dog Vomit Slime Mold,Fuligo septica,Dog Vomit Slime Mold,Protozoa
2016-07-17,07:54:00.000000000,Abhisheka Krishnagopal,2019-07-27T19:32:23.000000,2023-08-30T15:07:58.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/46257778/medium.jpeg,"",3,1,"Sonda, Karnataka 581336, India",14.7272378,74.8006299,Uttar Kannand,Karnataka,India,Coral Slimes,Ceratiomyxa,Coral Slimes,Protozoa
2019-07-27,06:56:00.000000000,N. Mahathi,2019-07-28T06:56:04.000000,2019-12-13T16:45:11.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/46330161/medium.jpeg,Not Provided,1,0,"Indian Institute Of Technology, Chennai, Tamil Nadu, India",12.9941088469,80.235854274,Chennai,Tamil Nadu,India,Trichia,Trichia,Not provided,Protozoa
2019-08-04,12:29:38.000000000,Vikram Singh,2019-08-04T13:23:31.000000,2019-08-07T17:17:45.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/47099725/medium.jpeg,Not Provided,0,0,"Himachal Pradesh 173211, India",30.928691864,77.0484237671,Solan,Himachal Pradesh,India,Not provided,Mycetozoa,slime molds,Protozoa
2019-08-04,11:30:52.000000000,Vikram Singh,2019-08-04T14:42:05.000000,2019-08-07T17:13:55.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/47102340/medium.jpeg,Not Provided,0,0,"Himachal Pradesh 173211, India",30.9288635254,77.0501403809,Solan,Himachal Pradesh,India,Not provided,Ceratiomyxaceae,Not provided,Protozoa
2019-08-15,18:35:46.000000000,Vikram Singh,2019-08-15T20:42:31.000000,2019-11-21T09:29:44.000000,https://inaturalist-open-data.s3.amazonaws.com/photos/48265849/medium.jpeg,Not Provided,0,0,"Holta, Palampur, Himachal Pradesh, India",32.1061630249,76.5576705933,Kangra,Himachal Pradesh,India,Not provided,Mycetozoa,slime molds,Protozoa
