observed_on,time_observed_at,user_name,created_at,updated_at,image_url,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name
2010-07-18,2010-07-18 03:48:35 UTC,Yuwaraj Gurjar,2015-02-23 08:57:42 UTC,2023-12-22 11:38:38 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/1573576/medium.jpg,slime mould,2,0,"Thane, IN-MH, IN",19.2,72.96667,Greater Bombay,Maharashtra,India,true slime molds,Myxomycetes,true slime molds,Protozoa
2016-06-07,2016-06-07 03:36:00 UTC,Subhajit Roy,2016-06-15 09:01:22 UTC,2020-04-12 15:46:30 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/4017263/medium.JPG,"",1,0,Khisma,23.251249,88.595193,Nadia,West Bengal,India,Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold,Protozoa
2017-06-29,2017-06-29 11:17:00 UTC,Chief RedEarth,2017-07-27 10:22:39 UTC,2024-01-27 18:18:08 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/9335435/medium.jpeg,"A bead like white fungus on a live plant in a pine forest.

http://www.easttennesseewildflowers.com/gallery/index.php/fungi/Copy_of_Mold_on_grass

https://www.youtube.com/watch?v=v8FgVkTEPmQ",1,0,"Kausani, Uttarakhand 263639, India",29.8445269,79.6038842,Almora,Uttaranchal,India,Physarales,Physarales,,Protozoa
2016-09-10,2016-09-10 12:12:00 UTC,Devin Thabah,2018-09-22 23:16:14 UTC,2018-09-22 23:16:15 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/25384005/medium.jpg,,0,0,"Nongstoin, Meghalaya ",25.5213094,91.2554112,West Khasi Hills,Meghalaya,India,Stemonitis splendens,Stemonitis splendens,chocolate tube slime,Protozoa
2018-08-15,2018-08-15 09:46:42 UTC,,2018-09-23 05:59:24 UTC,2024-02-07 16:12:45 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/25403014/medium.jpeg,Saw these on road side on the way to Nasik. Growing on the log used to make a roadside stall. Saw annelid feeding on these. I guess I have found a proper name for it. ,2,0,"NH848, Nilmati, Maharashtra 422212, India",19.9713538133,73.4416719899,Palghar,Maharashtra,India,true slime molds,Myxomycetes,true slime molds,Protozoa
2012-05-20,2012-05-20 07:41:28 UTC,Bijoy Venugopal,2018-09-28 01:14:11 UTC,2019-08-12 11:52:06 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/25676346/medium.jpg,,1,0,"172002, Kullu, Himachal Pradesh, IN",31.5611066892,77.6018719886,Kullu,Himachal Pradesh,India,slime molds,Mycetozoa,slime molds,Protozoa
2018-12-11,2018-12-11 10:57:09 UTC,Chief RedEarth,2018-12-15 14:48:51 UTC,2023-10-11 14:41:25 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/29184711/medium.jpeg,This white leathery lichen was found on a live Oak tree.,4,1,"Unnamed Road, Paini Bhanwan, Uttarakhand 249151, India",30.6597213745,78.3799972534,Uttarkashi,Uttaranchal,India,Reticulariaceae,Reticulariaceae,reticulate slime mold family,Protozoa
2018-12-29,2018-12-29 06:17:11 UTC,Jagdish Supekar,2018-12-29 03:04:28 UTC,2020-08-01 11:49:58 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/29633889/medium.jpeg,,0,0,"13, Z P Colony, Pawar Colony, Shahupuri, Satara, Maharashtra 415002, India",17.6947965,73.9853904,Satara,Maharashtra,India,Dog Vomit Slime Mold,Fuligo septica,Dog Vomit Slime Mold,Protozoa
2016-07-17,2016-07-17 02:24:00 UTC,Abhisheka Krishnagopal,2019-07-27 14:02:23 UTC,2023-08-30 09:37:58 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/46257778/medium.jpeg,"",3,1,"Sonda, Karnataka 581336, India",14.7272378,74.8006299,Uttar Kannand,Karnataka,India,Coral Slimes,Ceratiomyxa,Coral Slimes,Protozoa
2019-07-27,2019-07-27 01:26:00 UTC,N. Mahathi,2019-07-28 01:26:04 UTC,2019-12-13 11:15:11 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/46330161/medium.jpeg,,1,0,"Indian Institute Of Technology, Chennai, Tamil Nadu, India",12.9941088469,80.235854274,Chennai,Tamil Nadu,India,Trichia,Trichia,,Protozoa
